Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-1029146_sample-0_model,csk-wtcat_apo/seed-1029146_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.21,75.06,14.21,,,6.4,13.66,2.7,,,,,3.45,8.04,7.32,9.78,3.71,8.13,4.62,3.26,3.9,3.52,N/A,0.94
csk-wtcat_apo_seed-1029146_sample-1_model,csk-wtcat_apo/seed-1029146_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.51,75.31,15.18,,,6.38,13.87,2.86,,,,,3.48,8.08,7.36,9.83,3.79,8.02,4.95,3.32,3.48,3.52,N/A,0.93
csk-wtcat_apo_seed-1029146_sample-2_model,csk-wtcat_apo/seed-1029146_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.06,73.24,14.26,,,6.4,13.68,2.87,,,,,3.42,8.09,7.29,9.79,4.06,8.12,4.62,3.26,4.03,3.51,N/A,0.93
csk-wtcat_apo_seed-1029146_sample-3_model,csk-wtcat_apo/seed-1029146_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.83,72.54,14.27,,,6.44,13.8,2.8,,,,,3.52,8.12,7.31,9.84,3.71,8.05,4.62,3.26,4.99,3.54,N/A,0.93
csk-wtcat_apo_seed-1029146_sample-4_model,csk-wtcat_apo/seed-1029146_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,58.56,70.47,15.03,,,6.43,13.9,2.78,,,,,3.43,8.07,7.32,9.85,4.05,8.1,4.64,3.27,3.6,3.54,N/A,0.93
csk-wtcat_apo_seed-1359204_sample-0_model,csk-wtcat_apo/seed-1359204_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.42,73.64,14.22,,,6.43,13.58,2.73,,,,,3.53,8.09,7.34,9.79,3.72,8.07,4.67,3.24,3.63,3.52,N/A,0.93
csk-wtcat_apo_seed-1359204_sample-1_model,csk-wtcat_apo/seed-1359204_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.21,73.33,14.27,,,6.43,13.68,2.75,,,,,3.49,8.06,7.31,9.83,3.72,8.13,4.66,3.21,4.0,3.5,N/A,0.93
csk-wtcat_apo_seed-1359204_sample-2_model,csk-wtcat_apo/seed-1359204_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.9,72.23,14.71,,,6.41,13.8,2.76,,,,,3.49,8.14,7.38,9.83,3.6,8.14,5.01,3.34,3.55,3.53,N/A,0.93
csk-wtcat_apo_seed-1359204_sample-3_model,csk-wtcat_apo/seed-1359204_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.34,74.63,14.1,,,6.44,13.56,2.77,,,,,3.46,8.1,7.34,9.76,3.76,8.04,4.7,3.26,3.7,3.53,N/A,0.93
csk-wtcat_apo_seed-1359204_sample-4_model,csk-wtcat_apo/seed-1359204_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.53,76.25,14.04,,,6.41,13.61,2.7,,,,,3.45,8.12,7.37,9.8,3.72,8.07,5.02,3.25,3.51,3.53,N/A,0.93
